"","childs","degree","educ","sei","suicide","divorce"
"1387",2,2,16,"73,2",NA,0
"1388",3,3,16,"63,5",0,1
"1389",0,3,18," ",0,0
"1390",0,1,18,"36,7",0,0
"1391",4,2,15,"74,1",0,0
"1392",0,1,15,"64,8",0,NA
"1393",0,1,13,"32,4",NA,NA
"1394",3,1,15,"41,6",NA,NA
"1395",1,3,16,"33,6",0,0
"1396",2,4,19,"78,5",0,NA
"1397",2,2,14,"29,2",0,1
"1398",2,1,14,"49,6",NA,0
"1399",3,1,12,"28,6",1,1
"1400",5,1,12,"39,4",NA,0
"1401",0,1,12,"70",1,NA
"1402",NA,1,13,"62,2",0,0
"1403",2,1,13,"38,1",0,1
"1404",2,1,12,"49,6",1,0
"1405",3,2,15,"87",NA,NA
"1406",0,4,20,"73,9",0,NA
"1407",2,1,17,"48,6",0,0
"1408",3,1,15,"80,3",NA,0
"1409",3,3,18,"78,5",1,0
"1410",1,4,20,"73,9",NA,0
"1411",3,1,12,"28,4",0,0
"1412",7,0,8,"33,1",0,0
"1413",1,1,11,"30,8",1,NA
"1414",1,1,13,"33,1",0,NA
"1415",1,1,12,"60,6",0,0
"1416",2,4,20,"92,9",NA,0
"1417",3,4,20,"92,3",1,0
"1418",2,1,14,"38,4",1,0
"1419",3,1,12,"63,5",1,NA
"1420",1,3,16,"63,5",NA,NA
"1421",1,3,17,"63,5",1,0
"1422",3,1,12,"50,5",1,0
"1423",1,3,16,"28,4",NA,0
"1424",1,2,14,"54,2",NA,0
"1425",0,3,16,"50,5",1,0
"1426",5,1,16,"42,2",NA,0
"1427",3,1,12,"63,5",NA,1
"1428",1,0,6,"29,2",0,1
"1429",1,3,16,"63,2",1,NA
"1430",2,1,14,"63,5",NA,0
"1431",3,1,12,"32,4",NA,0
"1432",3,1,14,"36,5",1,0
"1433",0,1,12,"33,6",1,NA
"1434",3,2,16,"33,1",1,NA
"1435",3,0,10,"26,7",NA,0
"1436",2,1,12,"37,3",0,NA
"1437",2,1,11,"26,4",1,0
"1438",6,1,12,"39,4",NA,NA
"1439",1,1,12,"29,2",1,0
"1440",1,1,15,"78",1,NA
"1441",0,1,12,"53,3",NA,NA
"1442",0,3,16,"28,4",NA,NA
"1443",2,1,12,"31,4",NA,NA
"1444",NA,1,12,"29,3",0,1
"1445",2,1,14,"54,7",1,0
"1446",2,1,11," ",NA,NA
"1447",2,1,13,"62,5",1,0
"1448",2,1,12,"28,6",1,1
"1449",2,4,20,"78,5",1,1
"1450",3,1,15,"64,8",NA,0
"1451",2,1,16,"83,7",1,NA
"1452",2,1,12,"53,9",NA,1
"1453",3,1,12,"63,5",1,0
"1454",2,4,18,"63,5",NA,NA
"1455",2,1,12,"63,5",NA,0
"1456",2,1,12,"38,4",1,0
"1457",3,1,12,"48,9",0,0
"1458",0,1,13,"32,3",1,NA
"1459",0,0,9,"28,4",1,NA
"1460",4,4,18,"78,5",NA,NA
"1461",0,1,11,"21,1",0,0
"1462",3,1,12,"21,2",0,0
"1463",1,2,14,"64,4",0,NA
"1464",0,1,13,"63,2",1,NA
"1465",2,3,16,"61,9",NA,0
"1466",1,1,13,"26,4",1,NA
"1467",0,3,16,"67",0,0
"1468",2,3,17,"63,5",NA,NA
"1469",2,1,13,"64,8",1,0
"1470",0,4,18,"55,1",NA,0
"1471",1,1,14,"26,4",0,0
"1472",0,1,16,"37,9",0,0
"1473",0,1,17,"29",NA,0
"1474",0,3,16,"37,4",0,0
"1475",0,1,12,"29,2",1,NA
"1476",1,1,13,"33,6",0,NA
"1477",0,4,20,"79,9",1,NA
"1478",4,1,NA,"32,4",1,1
"1479",8,3,16,"69,2",NA,0
"1480",0,3,17,"55,1",1,0
